ASASSN-V J000012.12+553554.6
HJD MAG MAG_ERR FLUX FLUX_ERR
2457984.05803 13.969 0.02327 10.49 0.225
2457926.08477 13.976 0.02373 9.851 0.215
2457586.9704 14.016 0.02358 10.044 0.218
2457270.9439 13.937 0.02307 10.798 0.229
2457207.07463 13.963 0.02364 9.968 0.217
2457177.04833 13.983 0.02378 9.785 0.214
2458283.04553 13.925 0.02338 10.324 0.222
2457900.10196 13.981 0.02377 9.804 0.214
2457342.70862 13.954 0.02317 10.633 0.227
2457223.01314 14.042 0.02377 9.805 0.214
2458292.04803 13.956 0.02359 10.033 0.218
2458075.8798 13.955 0.02318 10.62 0.226
2458071.73442 13.928 0.02302 10.892 0.231
2457639.05019 13.943 0.0235 10.158 0.22
2457274.92052 13.94 0.02309 10.774 0.229
2457236.08251 14.053 0.02385 9.706 0.213
2457317.84407 13.933 0.02305 10.84 0.23
2457179.09416 13.956 0.02319 10.619 0.227
2457981.99885 14.044 0.02378 9.792 0.214
2457769.70375 13.941 0.02309 10.759 0.229
2457698.79359 13.941 0.02309 10.764 0.229
2457697.8859 13.919 0.02334 10.385 0.223
2457323.77738 13.923 0.02336 10.346 0.222
2457261.99048 13.927 0.02301 10.907 0.231
2458118.72487 13.9 0.02322 10.569 0.226
2458004.96292 13.936 0.02307 10.808 0.229
2457664.01224 13.871 0.02271 11.479 0.24
2457201.01042 13.938 0.02346 10.203 0.22
2457012.75393 14.002 0.02392 9.618 0.212
2458321.92988 13.963 0.02364 9.975 0.217
2457378.72936 13.965 0.02324 10.531 0.225
2457316.79702 13.89 0.02315 10.659 0.227
2457203.01383 13.944 0.0235 10.147 0.219
2457912.08438 13.973 0.02329 10.452 0.224
2458385.9288 13.862 0.02299 10.938 0.231
2457917.07813 13.975 0.0233 10.435 0.224
2457914.04712 14.024 0.0241 9.425 0.209
2457669.77538 13.905 0.02325 10.517 0.225
2457392.73775 13.928 0.02302 10.896 0.231
2457216.01371 13.959 0.0232 10.584 0.226
2458037.83624 13.931 0.02342 10.268 0.221
2458026.76929 13.958 0.0232 10.591 0.226
2457694.85543 13.923 0.02336 10.344 0.222
2457560.02285 14.029 0.02414 9.386 0.208
2457385.76207 13.97 0.02327 10.475 0.224
2457228.02612 13.982 0.02335 10.359 0.223
2458295.0235 13.954 0.02357 10.053 0.218
2457303.74094 13.95 0.02354 10.089 0.219
2457012.76782 14.008 0.02352 10.116 0.219
2457689.89615 13.882 0.02311 10.741 0.228
2457265.05156 14.023 0.02363 9.982 0.217
2457940.10945 13.952 0.02356 10.074 0.218
2458079.83693 13.922 0.02298 10.955 0.232
2457904.10308 14.011 0.02354 10.087 0.218
2457329.84407 13.872 0.02305 10.838 0.23
2457275.89341 13.898 0.02285 11.199 0.235
