ASASSN-V J000002.96+772205.2
HJD MAG MAG_ERR FLUX FLUX_ERR
2458017.94061 13.147 0.02307 22.648 0.481
2458013.83434 13.241 0.02222 19.389 0.396
2457995.91863 13.296 0.0223 19.75 0.405
2457988.94622 13.16 0.02257 20.885 0.434
2457979.047 13.148 0.02307 22.625 0.48
2457972.95212 13.224 0.02229 19.692 0.404
2457969.96768 13.211 0.02269 21.358 0.446
2457969.90787 13.192 0.02242 20.281 0.418
2457961.10363 13.23 0.02259 20.994 0.436
2457960.12407 13.188 0.02282 21.805 0.458
2457943.00539 13.154 0.0226 21.008 0.437
2457940.05044 13.187 0.02282 21.833 0.458
2457939.98607 13.203 0.02237 20.083 0.413
2457929.08053 13.272 0.02239 20.181 0.416
2457917.10125 13.272 0.02239 20.195 0.416
2457912.0609 13.259 0.02216 19.071 0.389
2457789.72768 13.262 0.02244 20.368 0.42
2457767.70393 13.255 0.02218 19.146 0.391
2457765.7914 13.264 0.02243 20.343 0.42
2457758.72333 13.265 0.02214 18.967 0.386
2457747.8039 13.28 0.0221 18.71 0.38
2457744.80971 13.263 0.02215 19.001 0.387
2457706.95876 13.241 0.02254 20.777 0.431
2457704.84069 13.233 0.02225 19.53 0.4
2457701.78763 13.179 0.02287 21.989 0.463
2457701.77584 13.199 0.02239 20.154 0.415
2457696.9569 13.091 0.02348 23.859 0.515
2457694.01093 13.157 0.02301 22.441 0.475
2457681.93986 13.353 0.02211 18.729 0.381
2457680.89074 13.396 0.02188 16.811 0.338
2457678.95642 13.292 0.02231 19.829 0.407
2457677.73849 13.307 0.02203 18.242 0.37
2457673.78653 13.263 0.02243 20.359 0.42
2457671.89894 13.301 0.02204 18.353 0.372
2457639.89158 13.208 0.02271 21.41 0.447
2457627.97506 13.276 0.02238 20.121 0.414
2457627.00219 13.261 0.02216 19.041 0.388
2457602.94234 13.255 0.02218 19.138 0.39
2457600.0226 13.183 0.02285 21.916 0.461
2457585.95852 13.317 0.02201 18.071 0.366
2457560.08375 13.263 0.02243 20.35 0.42
2457419.73334 13.304 0.02227 19.594 0.401
2457415.7092 13.307 0.02226 19.553 0.4
2457412.75201 13.24 0.02254 20.799 0.431
2457399.71818 13.262 0.02215 19.011 0.387
2457395.81971 13.213 0.02268 21.32 0.445
2457395.75463 13.216 0.02232 19.832 0.407
2457391.74165 13.188 0.02243 20.35 0.42
2457385.85778 13.187 0.02282 21.829 0.458
2457372.825 13.203 0.02273 21.523 0.45
2457368.81085 13.131 0.02272 21.449 0.448
2457368.7958 13.141 0.02311 22.779 0.484
2457357.93211 13.149 0.02306 22.601 0.48
2457357.75516 13.144 0.02265 21.194 0.442
2457342.89052 13.229 0.02227 19.598 0.401
2457333.89972 13.152 0.02304 22.544 0.478
2457333.88032 13.165 0.02254 20.796 0.431
2457323.80253 13.274 0.02212 18.807 0.383
2457314.81014 13.239 0.02223 19.416 0.397
2457286.95731 13.241 0.02222 19.389 0.396
2457274.95218 13.19 0.02281 21.777 0.457
2457272.94593 13.215 0.02232 19.852 0.408
2457251.88664 13.192 0.02242 20.286 0.418
