ASASSN-V J000008.73+593812.7
HJD MAG MAG_ERR FLUX FLUX_ERR
2458010.82195 13.431 0.02185 16.279 0.327
2457319.70219 13.523 0.02187 14.946 0.301
2457701.72753 13.539 0.02189 14.738 0.297
2457696.95275 13.477 0.02185 15.602 0.314
2457323.76974 13.519 0.02187 15.01 0.302
2457243.97829 13.547 0.0219 14.631 0.295
2457737.78184 13.463 0.02185 15.803 0.318
2457686.93531 13.537 0.02189 14.755 0.297
2457256.02985 13.518 0.02187 15.026 0.302
2457898.11324 13.445 0.02185 16.066 0.323
2457669.82119 13.647 0.0221 13.34 0.271
2457545.07605 13.518 0.02187 15.016 0.302
2457707.88766 13.561 0.02192 14.442 0.291
2458019.05227 13.415 0.02186 16.522 0.332
2457983.94449 13.434 0.02185 16.23 0.326
2457213.0616 13.56 0.02192 14.456 0.292
2457688.89272 13.574 0.02194 14.27 0.288
2457365.7986 13.521 0.02187 14.975 0.301
2457906.10776 13.469 0.02185 15.713 0.316
2457656.95122 13.55 0.0219 14.582 0.294
2457975.99748 13.573 0.02194 14.275 0.288
2457399.72521 13.58 0.02195 14.186 0.286
2457694.94003 13.488 0.02185 15.447 0.311
2458055.74037 13.511 0.02186 15.117 0.304
2457205.02603 13.532 0.02188 14.834 0.299
2457915.08524 13.521 0.02187 14.977 0.301
2457652.89681 13.592 0.02197 14.029 0.284
2457297.95869 13.443 0.02185 16.093 0.324
2457610.10731 13.462 0.02185 15.817 0.318
2457538.11031 13.584 0.02196 14.132 0.285
2458056.72503 13.576 0.02194 14.236 0.287
2457980.05199 13.5 0.02186 15.267 0.307
2457930.0464 13.45 0.02185 15.999 0.322
2457603.03066 13.486 0.02185 15.472 0.311
2457574.02391 13.537 0.02189 14.755 0.297
2458063.91972 13.569 0.02193 14.339 0.289
2457589.97341 13.492 0.02185 15.386 0.309
2457039.72014 13.509 0.02186 15.15 0.305
2457579.04712 13.534 0.02189 14.803 0.298
2458024.90045 13.477 0.02185 15.606 0.314
2457238.03353 13.514 0.02187 15.078 0.303
2457631.0469 13.577 0.02194 14.228 0.287
2457370.8188 13.554 0.02191 14.534 0.293
2457939.01247 13.58 0.02195 14.185 0.286
2457385.77361 13.575 0.02194 14.256 0.288
2457329.94131 13.494 0.02185 15.351 0.309
2457553.06979 13.452 0.02185 15.965 0.321
2457183.08912 13.505 0.02186 15.199 0.306
2458029.83295 13.532 0.02188 14.829 0.299
2457369.80148 13.504 0.02186 15.213 0.306
2457625.96278 13.588 0.02196 14.085 0.285
2457272.09624 13.51 0.02186 15.137 0.304
2457990.07007 13.44 0.02185 16.147 0.325
2457616.90345 13.501 0.02186 15.253 0.307
2457241.99914 13.52 0.02187 14.989 0.302
2458070.91094 13.503 0.02186 15.225 0.306
2457305.90888 13.425 0.02186 16.366 0.329
2457643.83628 13.546 0.0219 14.633 0.295
2457176.09182 13.491 0.02185 15.404 0.31
2458009.00923 13.469 0.02185 15.717 0.316
2457981.99082 13.469 0.02185 15.708 0.316
2457660.97515 13.553 0.02191 14.549 0.293
2457362.84465 13.507 0.02186 15.18 0.305
2458066.91897 13.507 0.02186 15.171 0.305
2457273.93211 13.512 0.02187 15.102 0.304
2457358.76753 13.507 0.02186 15.169 0.305
2457303.96298 13.426 0.02186 16.345 0.329
2457223.00983 13.529 0.02188 14.872 0.299
2458064.92944 13.53 0.02188 14.855 0.299
2457209.08498 13.563 0.02192 14.411 0.291
2457680.95708 13.563 0.02192 14.413 0.291
2457043.70582 13.611 0.02201 13.787 0.279
2457037.72237 13.501 0.02186 15.256 0.307
2457587.04985 13.53 0.02188 14.852 0.299
2457314.80351 13.47 0.02185 15.697 0.316
2457317.88549 13.455 0.02185 15.922 0.32
2457047.70882 13.569 0.02193 14.327 0.289
2457298.87131 13.445 0.02185 16.066 0.323
2457046.70854 13.559 0.02192 14.469 0.292
2457673.84958 13.563 0.02192 14.414 0.291
2457229.95898 13.497 0.02186 15.308 0.308
2458022.00864 13.423 0.02186 16.396 0.33
2457670.91688 13.61 0.02201 13.807 0.28
2457735.82476 13.45 0.02185 16.0 0.322
2457231.95716 13.457 0.02185 15.885 0.319
2457180.09465 13.483 0.02185 15.509 0.312
2457177.08899 13.536 0.02189 14.776 0.298
2457704.70759 13.578 0.02195 14.219 0.287
2457263.06388 13.499 0.02186 15.29 0.307
2458034.8906 13.514 0.02187 15.081 0.303
2457612.90613 13.451 0.02185 15.974 0.321
