ASASSN-V J000000.77+620045.2
HJD MAG MAG_ERR FLUX FLUX_ERR
2458004.9406 14.406 0.02474 8.794 0.2
2457399.72543 14.432 0.02866 6.474 0.171
2458029.83262 14.45 0.02893 6.369 0.17
2457628.01076 14.419 0.02486 8.69 0.199
2457915.10502 14.418 0.02485 8.702 0.199
2457037.72261 14.375 0.02786 6.823 0.175
2457990.06971 14.298 0.02686 7.326 0.181
2457906.06646 14.459 0.02524 8.378 0.195
2457619.96947 14.429 0.02862 6.492 0.171
2457609.00531 14.321 0.02402 9.514 0.21
2457589.97315 14.464 0.02914 6.287 0.169
2457362.84465 14.376 0.02787 6.816 0.175
2457342.8265 14.361 0.02434 9.171 0.205
2457189.06765 14.34 0.02739 7.047 0.178
2457151.12089 14.416 0.02483 8.716 0.199
2457701.81527 14.358 0.02432 9.195 0.206
2457686.93506 14.366 0.02774 6.878 0.176
2457587.04961 14.42 0.02849 6.547 0.172
2457297.95836 14.371 0.0278 6.85 0.175
2457365.79861 14.406 0.02829 6.63 0.173
2457961.04061 14.407 0.0283 6.623 0.172
2457332.86529 14.315 0.02397 9.562 0.211
2457314.80323 14.288 0.02674 7.391 0.182
2457021.74327 14.339 0.02738 7.05 0.178
2457904.0851 14.45 0.02515 8.447 0.195
2457009.7484 14.371 0.02443 9.086 0.204
2458431.89385 14.498 0.02967 6.091 0.166
2458110.75138 14.413 0.02839 6.589 0.172
2458064.92926 14.425 0.02856 6.516 0.171
2457660.97316 14.51 0.02577 7.992 0.189
2457412.70647 14.315 0.02707 7.212 0.18
2457317.88522 14.213 0.02588 7.917 0.188
2457298.87098 14.344 0.02744 7.017 0.177
2457939.97505 14.474 0.02539 8.263 0.193
2457656.83256 14.459 0.02524 8.378 0.195
2457622.04824 14.318 0.02399 9.538 0.211
2457288.91009 14.387 0.02457 8.954 0.202
2457676.84375 14.387 0.02457 8.951 0.202
2458435.72296 14.45 0.02893 6.367 0.169
2458056.7248 14.429 0.02862 6.493 0.171
2457693.84807 14.37 0.02442 9.093 0.204
2457047.7091 14.371 0.0278 6.844 0.175
2457391.75676 14.406 0.02829 6.632 0.173
2458306.0805 14.55 0.03051 5.809 0.163
2457046.70882 14.304 0.02693 7.283 0.18
2457040.71519 14.415 0.02841 6.575 0.172
2457969.89743 14.369 0.02441 9.102 0.204
2457931.03522 14.465 0.0253 8.331 0.194
2457244.07317 14.466 0.02531 8.321 0.194
2457049.70673 14.379 0.02791 6.795 0.174
2457612.90579 14.419 0.02847 6.552 0.172
2457329.94111 14.292 0.02679 7.361 0.181
2457181.09545 14.375 0.02446 9.054 0.204
2457720.82946 14.431 0.02497 8.598 0.198
2457272.09587 14.391 0.02808 6.721 0.174
2458262.11279 14.4 0.0282 6.668 0.173
2457358.7675 14.368 0.02776 6.867 0.175
2457256.0295 14.422 0.02852 6.535 0.171
2457236.0201 14.488 0.02554 8.158 0.192
2457176.09183 14.339 0.02738 7.053 0.178
2458449.75132 14.358 0.02763 6.929 0.176
2457975.98201 14.342 0.02418 9.334 0.208
2457213.0614 14.369 0.02778 6.859 0.175
2458078.88317 14.481 0.0294 6.189 0.167
2458075.86008 14.439 0.02505 8.53 0.197
2457652.89645 14.504 0.02976 6.059 0.166
2457909.0933 14.406 0.02829 6.631 0.173
2457704.70744 14.326 0.02721 7.139 0.179
2457573.99784 14.376 0.02447 9.04 0.204
2457695.87836 14.339 0.02416 9.361 0.208
2457631.04654 14.418 0.02846 6.559 0.172
2458347.94014 14.508 0.02982 6.034 0.166
2457942.99825 14.469 0.02534 8.299 0.193
2457898.11331 14.453 0.02897 6.347 0.169
2457744.75216 14.401 0.02469 8.839 0.201
2457708.75317 14.389 0.02805 6.733 0.174
2457530.11607 14.463 0.02912 6.288 0.168
2457522.10972 14.464 0.02529 8.341 0.194
2457656.95087 14.483 0.02943 6.174 0.167
2457324.8486 14.269 0.02363 9.981 0.217
2458370.89469 14.385 0.02799 6.76 0.174
2457881.12286 14.441 0.02507 8.515 0.196
2457746.74921 14.412 0.02479 8.75 0.2
2457538.11035 14.403 0.02824 6.646 0.173
2457194.06569 14.261 0.02642 7.58 0.184
2458045.97962 14.454 0.02899 6.344 0.169
2458026.83885 14.407 0.02475 8.787 0.2
2457983.94414 14.244 0.02622 7.699 0.186
2457596.06672 14.488 0.02951 6.146 0.167
2457579.04691 14.393 0.0281 6.708 0.173
2458380.80277 14.335 0.02733 7.081 0.178
2458070.91079 14.484 0.02945 6.168 0.167
2458019.01794 14.4 0.02468 8.845 0.201
2457912.06465 14.416 0.02483 8.713 0.199
2457721.85936 14.42 0.02849 6.545 0.172
2457369.74305 14.459 0.02524 8.375 0.194
2457229.9587 14.422 0.02852 6.533 0.171
2457205.02587 14.32 0.02713 7.177 0.179
2458428.79061 14.489 0.02952 6.142 0.167
2457715.80598 14.389 0.02805 6.734 0.174
2457304.95439 14.314 0.02396 9.576 0.211
2457185.08688 14.382 0.02452 8.995 0.203
2457970.96454 14.313 0.02705 7.223 0.18
2457706.84074 14.292 0.02379 9.774 0.214
2457406.71369 14.296 0.02684 7.334 0.181
2457980.08279 14.341 0.02418 9.335 0.208
2457751.72024 14.376 0.02447 9.041 0.204
2457610.10697 14.453 0.02897 6.352 0.169
2457361.79778 14.403 0.02471 8.818 0.2
2457357.76305 14.407 0.02475 8.791 0.2
2458022.00829 14.401 0.02822 6.661 0.173
2457598.0439 14.32 0.02401 9.525 0.21
2457319.69794 14.272 0.02365 9.95 0.216
2458408.8181 14.477 0.02934 6.212 0.168
2458024.90011 14.433 0.02868 6.466 0.171
2457673.84928 14.487 0.02949 6.152 0.167
2457616.90311 14.482 0.02941 6.181 0.167
2457593.01073 14.319 0.024 9.534 0.211
2457297.87689 14.34 0.02417 9.349 0.208
2457247.01744 14.435 0.02501 8.567 0.197
2457550.06931 14.432 0.02498 8.591 0.197
2457539.10738 14.342 0.02418 9.331 0.208
2457392.71479 14.445 0.0251 8.486 0.196
2457652.86145 14.484 0.02549 8.187 0.192
2457532.11303 14.485 0.02946 6.166 0.167
2457380.7527 14.492 0.02558 8.126 0.191
2457298.77756 14.375 0.02446 9.048 0.204
2457238.03322 14.368 0.02776 6.866 0.175
2458287.04804 14.517 0.02997 5.987 0.165
2457746.78466 14.384 0.02798 6.768 0.174
2457643.83592 14.453 0.02897 6.351 0.169
2457619.0729 14.313 0.02395 9.585 0.211
2457596.96575 14.457 0.02522 8.396 0.195
2457320.85834 14.264 0.02359 10.026 0.218
2457212.10128 14.392 0.02461 8.91 0.202
2457169.09417 14.43 0.02496 8.602 0.198
2458082.73699 14.504 0.02976 6.056 0.166
2458019.998 14.387 0.02457 8.952 0.202
2457980.05164 14.23 0.02606 7.8 0.187
2457767.71888 14.371 0.0278 6.847 0.175
2457762.70122 14.397 0.02466 8.87 0.201
2457696.95255 14.331 0.02728 7.105 0.178
2457405.71721 14.387 0.02802 6.749 0.174
2457370.81885 14.433 0.02868 6.466 0.171
2458070.74942 14.489 0.02555 8.151 0.192
2458013.98243 14.368 0.02776 6.868 0.175
2457946.00952 14.413 0.0248 8.738 0.199
2457935.0203 14.438 0.02504 8.541 0.197
2457011.77069 14.363 0.02769 6.9 0.176
2457008.77829 14.389 0.02805 6.737 0.174
2458336.08723 14.403 0.02824 6.649 0.173
2458067.76151 14.487 0.02553 8.164 0.192
2457667.97068 14.436 0.02502 8.554 0.197
2457344.73283 14.322 0.02716 7.164 0.179
2457314.81975 14.302 0.02387 9.68 0.213
2458097.83523 14.482 0.02941 6.181 0.167
2458059.8412 14.444 0.02884 6.403 0.17
2457198.02548 14.359 0.02433 9.188 0.206
2457675.70232 14.394 0.02463 8.898 0.202
2457559.09953 14.316 0.02398 9.558 0.211
2457045.70498 14.394 0.02463 8.896 0.202
2458034.89029 14.453 0.02897 6.35 0.169
2457995.82674 14.36 0.02433 9.175 0.205
2457933.03349 14.434 0.02869 6.46 0.171
2457178.06535 14.298 0.02384 9.716 0.213
2457164.11121 14.31 0.02393 9.611 0.212
2457011.74642 14.371 0.02443 9.083 0.204
2457906.10778 14.481 0.0294 6.189 0.167
2457735.82481 14.497 0.02965 6.097 0.166
2458447.83787 14.397 0.02816 6.688 0.173
2457541.10013 14.413 0.02839 6.588 0.172
2457388.72908 14.458 0.02905 6.323 0.169
2457356.69868 14.359 0.02764 6.924 0.176
2457180.09464 14.334 0.02731 7.086 0.178
2458020.92549 14.404 0.02472 8.814 0.2
2457941.00945 14.48 0.02938 6.194 0.167
2458054.70786 14.436 0.02872 6.451 0.17
2457904.11095 14.419 0.02847 6.554 0.172
2458342.988 14.482 0.02941 6.183 0.167
2458091.81039 14.46 0.02525 8.367 0.194
2457915.0852 14.494 0.0296 6.114 0.167
2457388.72483 14.478 0.02543 8.23 0.193
2457207.06183 14.378 0.02449 9.029 0.203
2457177.089 14.292 0.02679 7.366 0.182
2458066.9188 14.476 0.02932 6.217 0.168
2458019.05191 14.394 0.02812 6.702 0.173
2457911.07212 14.444 0.02509 8.493 0.196
2457670.91657 14.491 0.02956 6.13 0.167
2457602.03865 14.354 0.02428 9.232 0.206
2457334.85414 14.266 0.02648 7.543 0.184
2457198.07297 14.358 0.02763 6.93 0.176
2458012.95301 14.426 0.02492 8.635 0.198
2458430.91688 14.526 0.03012 5.935 0.164
2458116.78704 14.385 0.02799 6.761 0.174
2457165.11999 14.142 0.02514 8.456 0.196
2457930.04628 14.396 0.02815 6.691 0.173
2457744.79459 14.377 0.02788 6.808 0.175
2457616.87131 14.269 0.02363 9.977 0.217
2457747.73799 14.433 0.02499 8.582 0.197
2457251.894 14.438 0.02504 8.538 0.197
2457008.75365 14.404 0.02472 8.814 0.2
2457669.88618 14.493 0.02559 8.121 0.191
2457369.80152 14.487 0.02949 6.156 0.167
2457274.97314 14.434 0.025 8.57 0.197
2457012.77763 14.367 0.02775 6.872 0.175
2458049.96612 14.482 0.02941 6.184 0.167
2457694.93983 14.335 0.02733 7.075 0.178
2457277.97128 14.4 0.02468 8.846 0.201
2457239.98528 14.375 0.02446 9.051 0.204
2457894.10752 14.557 0.02629 7.657 0.185
2457243.97796 14.427 0.02859 6.502 0.171
2457194.02788 14.38 0.0245 9.012 0.203
2457044.70503 14.432 0.02866 6.474 0.171
2458053.7283 14.421 0.0285 6.541 0.172
2457975.99714 14.291 0.02678 7.372 0.182
2457756.71834 14.386 0.02456 8.96 0.202
2457745.78826 14.393 0.0281 6.708 0.173
2457317.8794 14.297 0.02383 9.724 0.213
2458401.99211 14.465 0.02915 6.282 0.168
2457709.82993 14.347 0.02423 9.288 0.207
2457998.84712 14.318 0.02711 7.189 0.179
2457998.81922 14.398 0.02466 8.858 0.201
2457707.88753 14.282 0.02667 7.435 0.182
2458033.71406 14.446 0.02511 8.475 0.196
2457737.7819 14.422 0.02852 6.531 0.171
2457574.02373 14.329 0.02725 7.117 0.178
2457303.96267 14.326 0.02721 7.136 0.179
2457045.70832 14.374 0.02784 6.826 0.175
2457039.72038 14.394 0.02812 6.705 0.173
2457747.78429 14.392 0.02809 6.718 0.174
2457273.93174 14.454 0.02899 6.345 0.169
2457309.85137 14.376 0.02447 9.047 0.204
2457223.00958 14.455 0.029 6.337 0.169
2458032.9609 14.427 0.02493 8.626 0.198
2457997.00862 14.376 0.02447 9.043 0.204
2457883.11583 14.44 0.02506 8.523 0.196
2457660.97481 14.527 0.03013 5.932 0.164
2458413.82924 14.559 0.03067 5.761 0.163
2458063.91953 14.494 0.0296 6.113 0.166
2457996.97818 14.363 0.02769 6.896 0.176
2457715.8439 14.381 0.02451 9.004 0.203
2457531.09311 14.407 0.02475 8.788 0.2
2457048.7064 14.331 0.02728 7.106 0.178
2458076.85673 14.511 0.02578 7.988 0.189
2457955.93562 14.444 0.02509 8.491 0.196
2457900.09828 14.451 0.02516 8.442 0.195
2457680.95681 14.419 0.02847 6.552 0.172
2457676.78229 14.431 0.02865 6.48 0.171
2457639.05328 14.494 0.0256 8.109 0.191
2457553.06973 14.424 0.02854 6.522 0.171
2457190.06524 14.348 0.02423 9.278 0.207
2457384.708 14.433 0.02499 8.583 0.197
2457231.95687 14.378 0.0279 6.806 0.175
2457227.92823 14.513 0.0258 7.973 0.189
2457958.96209 14.411 0.02478 8.756 0.2
2457688.89249 14.376 0.02787 6.814 0.175
2457270.98746 14.453 0.02518 8.422 0.195
2457585.95558 14.336 0.02414 9.382 0.208
2457323.7695 14.136 0.02508 8.501 0.196
2457241.99882 14.358 0.02763 6.928 0.176
2458010.82159 14.388 0.02804 6.743 0.174
2457760.75656 14.352 0.02755 6.968 0.177
2457701.72736 14.34 0.02739 7.045 0.178
2457363.79437 14.431 0.02497 8.594 0.197
2457330.88239 14.29 0.02676 7.376 0.182
2457319.70194 14.243 0.02621 7.706 0.186
2458325.95497 14.469 0.02921 6.258 0.168
2458062.92381 14.504 0.02976 6.055 0.166
2457981.02512 14.296 0.02382 9.732 0.213
2457889.11427 14.456 0.02521 8.399 0.195
2457305.90857 14.286 0.02671 7.405 0.182
2457262.96503 14.343 0.02419 9.319 0.207
2458022.88669 14.434 0.025 8.57 0.197
2458014.90623 14.409 0.02476 8.769 0.2
2457981.99047 14.284 0.02669 7.417 0.182
2457958.03765 14.398 0.02817 6.68 0.173
2457625.96242 14.436 0.02872 6.448 0.17
2457612.93562 14.349 0.02424 9.271 0.207
2457156.12101 14.48 0.02545 8.217 0.192
2458377.8128 14.37 0.02779 6.853 0.175
2457275.87579 14.397 0.02816 6.686 0.173
2457222.01628 14.437 0.02503 8.551 0.197
2457042.70431 14.459 0.02906 6.315 0.169
2458063.80858 14.505 0.02571 8.027 0.19
2457984.06536 14.299 0.02385 9.707 0.213
2457946.03905 14.413 0.02839 6.587 0.172
2457203.01047 14.342 0.02418 9.33 0.208
2457669.82087 14.536 0.03028 5.883 0.164
2457215.96587 14.408 0.02476 8.777 0.2
2458071.90297 14.519 0.03 5.975 0.165
2458044.86252 14.462 0.02527 8.357 0.194
2457385.77375 14.446 0.02887 6.393 0.17
2458055.74014 14.474 0.02929 6.228 0.168
2458009.00886 14.417 0.02844 6.565 0.172
2457545.07605 14.429 0.02862 6.494 0.171
2457183.08909 14.353 0.02756 6.962 0.177
2458451.78408 14.385 0.02799 6.758 0.174
2458060.88266 14.417 0.02844 6.563 0.172
2457939.01229 14.424 0.02854 6.522 0.171
2457043.70467 14.311 0.02702 7.235 0.18
2458025.98648 14.42 0.02849 6.544 0.172
2457927.07254 14.416 0.02483 8.716 0.199
2457687.92286 14.421 0.02488 8.672 0.198
2457290.85647 14.415 0.02841 6.572 0.172
2457248.02507 14.449 0.02891 6.374 0.17
2458012.03325 14.429 0.02495 8.614 0.198
2457672.8998 14.449 0.02514 8.454 0.196
2457327.74437 14.311 0.02394 9.602 0.211
2457680.92988 14.416 0.02483 8.713 0.199
2457263.06351 14.432 0.02866 6.474 0.171
2457704.87232 14.282 0.02372 9.864 0.215
2457690.91452 14.386 0.02456 8.959 0.202
2457536.11837 14.636 0.03204 5.363 0.158
2457041.70395 14.34 0.02739 7.044 0.178
2457948.08864 14.444 0.02509 8.496 0.196
2457697.89312 14.366 0.02438 9.127 0.205
2457009.7748 14.34 0.02739 7.046 0.178
