ASASSN-V J000010.35+740822.8
HJD MAG MAG_ERR FLUX FLUX_ERR
2457309.72464 12.402 0.02 41.981 0.772
2458038.79941 12.517 0.02 37.76 0.695
2458017.941 12.571 0.02 38.428 0.707
2457997.89488 12.589 0.02 35.337 0.65
2457231.03702 12.392 0.02 45.342 0.834
2457223.02124 12.503 0.02 40.904 0.753
2458310.02875 12.196 0.02 50.782 0.934
2457765.79128 12.312 0.02 48.792 0.898
2457681.94021 12.393 0.02 45.265 0.833
2458377.85447 12.307 0.02 45.824 0.843
2458017.9943 12.565 0.02 36.146 0.665
2457562.06445 12.352 0.02 43.949 0.809
2458070.97856 12.489 0.02 41.446 0.763
2458063.98764 12.485 0.02 41.592 0.765
2458037.91847 12.516 0.02 37.813 0.696
2458020.96996 12.594 0.02 35.194 0.648
2457391.74147 12.654 0.02 33.292 0.613
2457191.10298 12.61 0.02 37.068 0.682
2458336.0359 12.406 0.02 41.833 0.77
2457737.78905 12.475 0.02 39.26 0.722
2457701.77603 12.574 0.02 35.849 0.66
2457303.92355 12.386 0.02 42.625 0.784
2457037.72045 12.49 0.02 41.423 0.762
