ASASSN-V J000010.35+740822.8
HJD MAG MAG_ERR FLUX FLUX_ERR
2457917.10116 12.596 0.02 37.551 0.691
2457221.99887 12.429 0.02 40.937 0.753
2457763.74441 12.276 0.02 47.172 0.868
2457181.11616 12.318 0.02 48.518 0.893
2458295.01916 12.15 0.02 52.977 0.975
2457895.11688 12.63 0.02 34.049 0.626
2457694.94649 12.412 0.02 41.611 0.766
2457412.75182 12.674 0.02 34.952 0.643
2458451.77168 12.471 0.02 39.394 0.725
2457317.82615 12.507 0.02 40.766 0.75
2458019.90192 12.63 0.02 36.385 0.669
2458054.72619 12.421 0.02 44.138 0.812
2458078.90175 12.446 0.02 40.323 0.742
2458048.7357 12.399 0.02 42.103 0.775
2457579.10648 12.654 0.02 35.62 0.655
2458347.95117 12.338 0.02 44.555 0.82
2458063.71162 12.504 0.02 38.218 0.703
2457578.9897 12.66 0.02 33.107 0.609
2457372.82507 12.488 0.02 41.505 0.764
2458024.9328 12.635 0.02 33.873 0.623
2457886.12137 12.461 0.02 39.762 0.732
2457636.93234 12.481 0.02 41.738 0.768
2457526.11173 12.819 0.02 28.584 0.526
2457327.92039 12.617 0.02 36.822 0.678
2457911.06446 12.564 0.02 36.157 0.665
2457399.71796 12.62 0.02 34.359 0.632
2457305.00656 12.409 0.02 44.637 0.821
2458448.87986 12.467 0.02 39.546 0.728
2458055.74709 12.516 0.02 40.428 0.744
2457997.03061 12.582 0.02 38.03 0.7
2457574.03143 12.54 0.02 36.985 0.681
2457386.80908 12.673 0.02 34.981 0.644
2457244.03036 12.492 0.02 38.636 0.711
2457912.0609 12.567 0.02 36.057 0.663
2457767.70369 12.322 0.02 45.191 0.832
2457755.77407 12.329 0.02 44.891 0.826
2457390.82884 12.65 0.02 35.721 0.657
2457380.73758 12.623 0.02 34.259 0.63
2457262.92957 12.631 0.02 36.362 0.669
2457669.78154 12.567 0.02 38.569 0.71
2457388.71371 12.646 0.02 33.538 0.617
2457357.93227 12.23 0.02 52.637 0.969
2457627.00258 12.584 0.02 35.496 0.653
2458065.99791 12.524 0.02 40.12 0.738
2457637.95427 12.459 0.02 39.852 0.733
2458371.95102 12.27 0.02 47.396 0.872
2458368.0241 12.254 0.02 48.132 0.886
2457707.83656 12.706 0.02 31.728 0.584
2457231.99439 12.4 0.02 45.008 0.828
2457314.81045 12.418 0.02 41.38 0.761
2457272.00782 12.476 0.02 39.231 0.722
2457216.04371 12.624 0.02 36.608 0.674
2457940.0505 12.684 0.02 34.644 0.637
2457362.74438 12.246 0.02 48.492 0.892
2457317.87313 12.478 0.02 39.163 0.721
2457368.79589 12.389 0.02 45.431 0.836
2457210.09711 12.738 0.02 30.809 0.567
2457671.89928 12.545 0.02 36.791 0.677
2457291.04509 12.352 0.02 43.981 0.809
2457251.88701 12.557 0.02 36.414 0.67
2458067.70695 12.522 0.02 37.609 0.692
2458079.96225 12.434 0.02 43.614 0.802
2457929.08052 12.626 0.02 36.55 0.673
2457305.87208 12.396 0.02 42.218 0.777
2457385.85776 12.667 0.02 35.186 0.647
2457215.9809 12.584 0.02 35.499 0.653
2458342.96519 12.427 0.02 41.032 0.755
2457246.89998 12.509 0.02 38.044 0.7
2457231.93229 12.352 0.02 43.957 0.809
2457630.90447 12.534 0.02 37.174 0.684
2457585.95877 12.796 0.02 29.216 0.538
2457423.7421 12.688 0.02 34.495 0.635
2457183.10236 12.321 0.02 45.259 0.833
2458056.7279 12.456 0.02 42.722 0.786
2457314.90501 12.454 0.02 42.811 0.788
2458397.75666 12.288 0.02 46.62 0.858
2458023.91494 12.642 0.02 36.004 0.662
2457959.00978 12.492 0.02 38.659 0.711
2457549.05386 12.531 0.02 37.279 0.686
2457342.89068 12.535 0.02 37.148 0.684
2458449.75971 12.487 0.02 38.838 0.715
2458071.98215 12.486 0.02 41.566 0.765
2457204.06964 12.801 0.02 31.09 0.572
2458082.74782 12.361 0.02 43.591 0.802
2458036.89199 12.525 0.02 37.494 0.69
2457755.80133 12.328 0.02 48.063 0.884
2457670.92315 12.566 0.02 38.622 0.711
2457333.90001 12.668 0.02 35.158 0.647
2457407.77129 12.642 0.02 35.987 0.662
2457758.72315 12.274 0.02 47.259 0.87
2457414.762 12.686 0.02 34.565 0.636
2457275.98119 12.408 0.02 41.766 0.768
2457309.85432 12.418 0.02 44.247 0.814
2458070.69101 12.491 0.02 38.695 0.712
2458066.70528 12.5 0.02 38.371 0.706
2457984.05242 12.445 0.02 43.152 0.794
2457384.7159 12.665 0.02 32.963 0.607
2457689.95697 12.375 0.02 46.056 0.847
2457604.04044 12.622 0.02 36.662 0.675
2457161.11931 12.36 0.02 43.642 0.803
2458273.0895 12.476 0.02 39.235 0.722
2458013.83474 12.512 0.02 37.938 0.698
2458378.9317 12.295 0.02 46.346 0.853
2458312.9723 12.229 0.02 49.245 0.906
2457758.74499 12.294 0.02 49.626 0.913
2457721.86646 12.635 0.02 33.87 0.623
2457715.74803 12.724 0.02 33.367 0.614
2457178.08479 12.222 0.02 49.554 0.912
2457696.95721 12.472 0.02 42.119 0.775
2458067.99429 12.516 0.02 40.433 0.744
2457674.96974 12.518 0.02 37.718 0.694
2457245.04508 12.518 0.02 40.354 0.743
2458075.96779 12.476 0.02 41.94 0.772
2457982.93608 12.434 0.02 40.782 0.75
2457949.07653 12.65 0.02 33.417 0.615
2457297.92711 12.363 0.02 43.506 0.801
2457274.95255 12.435 0.02 43.555 0.801
2458023.82855 12.633 0.02 33.929 0.624
2458010.90758 12.502 0.02 40.971 0.754
2457686.84204 12.355 0.02 46.91 0.863
2457614.91591 12.522 0.02 37.58 0.691
2457560.08372 12.371 0.02 46.226 0.851
2457227.97485 12.368 0.02 43.308 0.797
2457324.73326 12.557 0.02 36.409 0.67
2457272.03007 12.487 0.02 41.523 0.764
2457614.96337 12.542 0.02 39.48 0.726
2457602.94266 12.643 0.02 33.618 0.619
2457357.75522 12.217 0.02 49.802 0.916
2457047.72309 12.467 0.02 42.278 0.778
2458097.84681 12.332 0.02 47.878 0.881
2457428.72961 12.697 0.02 34.227 0.63
2457362.86361 12.27 0.02 50.722 0.933
2457045.72921 12.465 0.02 42.395 0.78
2458010.87366 12.505 0.02 38.2 0.703
2457961.10382 12.467 0.02 42.29 0.778
2457333.88053 12.657 0.02 33.204 0.611
2457012.7193 12.799 0.02 29.124 0.536
2457939.98626 12.662 0.02 33.033 0.608
2457975.98489 12.367 0.02 43.38 0.798
2457988.94662 12.477 0.02 39.199 0.721
2457553.10503 12.45 0.02 42.975 0.791
2457532.10526 12.766 0.02 30.034 0.553
2457211.05206 12.724 0.02 33.375 0.614
2457974.97743 12.411 0.02 44.542 0.82
2457943.00559 12.648 0.02 33.488 0.616
2457639.89195 12.439 0.02 43.417 0.799
2457600.02281 12.66 0.02 35.416 0.652
2458022.83182 12.635 0.02 36.248 0.667
2457972.95246 12.433 0.02 40.806 0.751
2457927.08074 12.628 0.02 34.095 0.627
2457358.86423 12.231 0.02 52.556 0.967
2457263.01315 12.617 0.02 34.459 0.634
2457009.73641 12.785 0.02 29.494 0.543
2458299.01457 12.157 0.02 52.618 0.968
2457297.86445 12.397 0.02 45.124 0.83
2457046.73003 12.461 0.02 42.523 0.782
2458028.90428 12.637 0.02 33.809 0.622
2457657.91141 12.511 0.02 37.985 0.699
2458013.9891 12.505 0.02 40.841 0.751
2457668.95805 12.563 0.02 36.216 0.666
2457652.818 12.438 0.02 40.629 0.748
2457275.89717 12.403 0.02 44.867 0.826
2457980.95278 12.412 0.02 41.587 0.765
2457696.86179 12.448 0.02 40.263 0.741
2457319.97267 12.506 0.02 40.802 0.751
2457298.85825 12.371 0.02 43.196 0.795
2457272.94633 12.433 0.02 40.795 0.751
2457207.00345 12.771 0.02 29.884 0.55
2458076.81862 12.473 0.02 42.055 0.774
2457983.08014 12.456 0.02 42.742 0.786
2457319.89685 12.51 0.02 37.997 0.699
2457766.72683 12.347 0.02 47.247 0.869
2457238.00911 12.428 0.02 43.861 0.807
2458283.05332 12.287 0.02 46.688 0.859
2457969.90821 12.384 0.02 42.685 0.785
2457419.73311 12.684 0.02 34.62 0.637
2457007.73565 12.78 0.02 29.65 0.546
2458409.7773 12.21 0.02 50.092 0.922
2458030.05492 12.616 0.02 36.864 0.678
2457399.80612 12.614 0.02 36.933 0.68
2457329.92092 12.653 0.02 33.313 0.613
2457202.01315 12.791 0.02 29.35 0.54
2458049.73925 12.375 0.02 43.048 0.792
2457737.74352 12.47 0.02 42.189 0.776
2457694.01124 12.426 0.02 43.906 0.808
2457328.95406 12.634 0.02 33.909 0.624
2457735.83922 12.463 0.02 39.698 0.73
2457618.99205 12.573 0.02 38.354 0.706
2457612.03717 12.56 0.02 38.837 0.715
2457270.10674 12.522 0.02 40.205 0.74
2457673.7869 12.519 0.02 40.314 0.742
2457652.8564 12.476 0.02 41.934 0.772
2457411.77482 12.69 0.02 34.446 0.634
2457170.10219 12.183 0.02 51.366 0.945
2458435.78393 12.49 0.02 38.713 0.712
2457676.03029 12.491 0.02 41.385 0.761
2457368.81083 12.376 0.02 43.004 0.791
