ASASSN-V J000008.28+582842.6
HJD MAG MAG_ERR FLUX FLUX_ERR
2457229.95898 13.335 0.02197 17.771 0.359
2457205.02603 13.378 0.0219 17.095 0.344
2458019.05227 13.328 0.02198 17.898 0.362
2457669.82119 13.454 0.02185 15.94 0.32
2457643.83628 13.415 0.02186 16.509 0.332
2457297.95869 13.275 0.02211 18.787 0.382
2457263.06388 13.354 0.02193 17.47 0.353
2458010.82195 13.376 0.0219 17.123 0.345
2457898.11324 13.37 0.02191 17.219 0.347
2457369.80148 13.35 0.02194 17.537 0.354
2457358.76753 13.424 0.02186 16.374 0.329
2457915.08524 13.381 0.0219 17.04 0.343
2458055.74037 13.216 0.02232 19.841 0.407
2457298.87131 13.274 0.02212 18.799 0.383
2457704.70759 13.372 0.02191 17.184 0.346
2457213.0616 13.4 0.02188 16.739 0.337
2458064.92944 13.364 0.02192 17.311 0.349
2457930.0464 13.282 0.02209 18.662 0.379
2457707.88766 13.384 0.02189 16.999 0.342
2457603.03066 13.318 0.022 18.065 0.366
2457735.82476 13.392 0.02188 16.862 0.339
2457673.84958 13.412 0.02187 16.566 0.333
2457319.70219 13.361 0.02192 17.359 0.35
2457209.08498 13.379 0.0219 17.077 0.344
2457273.93211 13.309 0.02202 18.209 0.369
2457362.84465 13.434 0.02185 16.228 0.326
2457652.89681 13.358 0.02193 17.413 0.351
2457177.08899 13.348 0.02194 17.567 0.355
2457579.04712 13.317 0.02201 18.07 0.366
2458024.90045 13.306 0.02203 18.255 0.37
2457670.91688 13.449 0.02185 16.001 0.322
2458070.91094 13.351 0.02194 17.518 0.354
2458022.00864 13.313 0.02202 18.147 0.368
2457589.97341 13.401 0.02187 16.733 0.337
2457625.96278 13.304 0.02204 18.288 0.371
2457323.76974 13.315 0.02201 18.103 0.367
2458063.91972 13.334 0.02197 17.79 0.36
2457656.95122 13.394 0.02188 16.836 0.339
2457180.09465 13.405 0.02187 16.666 0.335
2457701.72753 13.321 0.022 18.015 0.365
2457694.94003 13.344 0.02195 17.634 0.356
2457047.70882 13.354 0.02193 17.472 0.353
2457241.99914 13.395 0.02188 16.818 0.339
2457176.09182 13.348 0.02194 17.562 0.355
2457037.72237 13.398 0.02188 16.776 0.338
2457688.89272 13.454 0.02185 15.941 0.32
2457183.08912 13.466 0.02185 15.762 0.317
2457385.77361 13.42 0.02186 16.444 0.331
2457243.97829 13.397 0.02188 16.791 0.338
2457238.03353 13.418 0.02186 16.467 0.331
2458029.83295 13.317 0.02201 18.078 0.366
2457329.94131 13.347 0.02195 17.578 0.355
2457983.94449 13.319 0.022 18.05 0.365
2458066.91897 13.359 0.02193 17.383 0.351
2457574.02391 13.343 0.02195 17.651 0.356
2457545.07605 13.343 0.02195 17.654 0.357
2458034.8906 13.312 0.02202 18.158 0.368
2457980.05199 13.333 0.02197 17.818 0.36
2457660.97515 13.428 0.02186 16.316 0.328
2457631.0469 13.35 0.02194 17.533 0.354
2457612.90613 13.476 0.02185 15.613 0.314
2457046.70854 13.347 0.02195 17.586 0.355
2457990.07007 13.365 0.02192 17.294 0.349
2457939.01247 13.37 0.02191 17.211 0.347
2457686.93531 13.434 0.02185 16.225 0.326
2457737.78184 13.373 0.02191 17.172 0.346
2457610.10731 13.443 0.02185 16.099 0.324
2457223.00983 13.371 0.02191 17.205 0.347
2457553.06979 13.268 0.02214 18.917 0.385
2457680.95708 13.359 0.02193 17.388 0.351
2457616.90345 13.428 0.02186 16.321 0.328
2458009.00923 13.389 0.02189 16.921 0.341
2457272.09624 13.292 0.02207 18.497 0.376
2457975.99748 13.302 0.02204 18.331 0.372
2457039.72014 13.44 0.02185 16.134 0.324
2457305.90888 13.323 0.02199 17.978 0.364
2457317.88549 13.389 0.02189 16.916 0.341
2457538.11031 13.44 0.02185 16.141 0.324
2457399.72521 13.325 0.02199 17.942 0.363
2457256.02985 13.432 0.02185 16.259 0.327
2457231.95716 13.383 0.02189 17.018 0.343
2457370.8188 13.332 0.02197 17.827 0.36
2457587.04985 13.41 0.02187 16.596 0.334
2457981.99082 13.325 0.02199 17.939 0.363
2457696.95275 13.341 0.02196 17.687 0.357
2457043.70582 13.451 0.02185 15.982 0.321
2457303.96298 13.264 0.02215 18.98 0.387
2457906.10776 13.374 0.0219 17.152 0.346
2458056.72503 13.237 0.02224 19.459 0.398
2457365.7986 13.391 0.02188 16.882 0.34
2457314.80351 13.418 0.02186 16.476 0.331
