ASASSN-V J000000.21+611509.4
HJD MAG MAG_ERR FLUX FLUX_ERR
2458063.80858 12.012 0.02 60.526 1.114
2457931.03522 11.998 0.02 61.304 1.128
2457530.11607 12.107 0.02 55.082 1.014
2457406.71369 11.997 0.02 60.948 1.121
2457744.79459 11.991 0.02 61.292 1.128
2457238.03322 12.028 0.02 59.253 1.09
2457894.10752 12.011 0.02 60.589 1.115
2457737.7819 12.001 0.02 60.72 1.117
2457541.10013 12.046 0.02 58.269 1.072
2457323.7695 11.993 0.02 61.216 1.126
2458032.9609 12.031 0.02 59.486 1.095
2457275.87579 12.007 0.02 60.404 1.111
2457190.06524 12.035 0.02 59.275 1.091
2457180.09464 12.089 0.02 56.028 1.031
2458325.95497 12.035 0.02 58.881 1.083
2457762.70122 12.025 0.02 59.785 1.1
2457361.79778 11.994 0.02 61.524 1.132
2457213.0614 12.055 0.02 57.819 1.064
2458116.78704 12.031 0.02 59.095 1.087
2457955.93562 12.016 0.02 60.295 1.109
2457011.77069 12.044 0.02 58.392 1.074
2458070.91079 12.078 0.02 56.577 1.041
2457365.79861 12.004 0.02 60.585 1.115
2457304.95439 12.04 0.02 58.985 1.085
2457037.72261 12.021 0.02 59.647 1.098
2457998.84712 12.039 0.02 58.637 1.079
2457981.99047 12.034 0.02 58.951 1.085
2457667.97068 12.019 0.02 60.152 1.107
2457317.88522 12.032 0.02 59.02 1.086
2457263.06351 12.035 0.02 58.878 1.083
2457675.70232 11.996 0.02 61.44 1.13
2457593.01073 12.019 0.02 60.126 1.106
2457212.10128 12.019 0.02 60.124 1.106
2457046.70882 11.995 0.02 61.096 1.124
2457715.80598 12.017 0.02 59.845 1.101
2457388.72908 12.01 0.02 60.251 1.109
2457165.11999 11.98 0.02 61.923 1.139
2458055.74014 12.011 0.02 60.208 1.108
2457178.06535 12.156 0.02 53.019 0.976
2458060.88266 12.037 0.02 58.769 1.081
2457334.85414 12.008 0.02 60.375 1.111
2457329.94111 12.003 0.02 60.636 1.116
2457244.07317 12.037 0.02 59.165 1.089
2458063.91953 12.002 0.02 60.698 1.117
2457927.07254 12.027 0.02 59.692 1.098
2457656.83256 12.031 0.02 59.486 1.095
2457330.88239 12.004 0.02 60.594 1.115
2457262.96503 12.02 0.02 60.085 1.106
2457164.11121 12.167 0.02 52.479 0.966
2458097.83523 12.016 0.02 59.927 1.103
2458012.95301 12.017 0.02 60.252 1.109
2457995.82674 12.013 0.02 60.455 1.112
2457314.81975 12.003 0.02 61.022 1.123
2457363.79437 12.005 0.02 60.89 1.12
2457156.12101 12.11 0.02 55.306 1.018
2458070.74942 12.014 0.02 60.43 1.112
2457915.10502 12.021 0.02 60.004 1.104
2457392.71479 11.989 0.02 61.803 1.137
2457274.97314 11.975 0.02 62.617 1.152
2458019.05191 12.015 0.02 59.947 1.103
2457998.81922 12.007 0.02 60.793 1.119
2457399.72543 12.003 0.02 60.633 1.116
2457270.98746 12.009 0.02 60.692 1.117
2457941.00945 12.145 0.02 53.192 0.979
2457939.97505 12.041 0.02 58.918 1.084
