ASASSN-V J000004.16+570616.5
HJD MAG MAG_ERR FLUX FLUX_ERR
2457272.09624 14.361 0.02767 6.913 0.176
2457625.96278 13.913 0.0233 10.444 0.224
2457686.93531 13.856 0.02296 11.0 0.232
2457317.88549 14.873 0.03705 4.312 0.147
2458029.83295 14.665 0.03258 5.221 0.157
2457043.70582 14.893 0.03753 4.233 0.146
2458064.92944 14.656 0.03241 5.268 0.157
2457298.87131 14.753 0.03435 4.816 0.152
2457643.83628 13.648 0.0221 13.321 0.271
2457652.89681 13.615 0.02202 13.736 0.278
2457263.06388 14.201 0.02575 8.005 0.19
2458063.91972 14.695 0.03317 5.08 0.155
2457362.84465 14.607 0.03151 5.509 0.16
2457704.70759 14.026 0.02411 9.408 0.209
2457399.72521 14.02 0.02406 9.465 0.21
2457579.04712 14.669 0.03266 5.201 0.156
2458070.91094 14.708 0.03343 5.022 0.154
2457213.0616 13.727 0.02235 12.397 0.255
2457305.90888 14.809 0.03557 4.574 0.15
2457981.99082 14.254 0.02634 7.627 0.185
2457046.70854 15.028 0.04104 3.738 0.141
2457898.11324 13.549 0.0219 14.602 0.294
2457680.95708 13.817 0.02275 11.404 0.239
2457538.11031 14.452 0.02896 6.352 0.169
2457238.03353 13.78 0.02257 11.804 0.245
2457176.09182 13.749 0.02244 12.146 0.251
2458066.91897 14.7 0.03327 5.059 0.155
2457673.84958 13.773 0.02254 11.874 0.246
2457707.88766 14.06 0.02439 9.115 0.205
2457177.08899 13.8 0.02267 11.581 0.242
2457701.72753 14.03 0.02414 9.372 0.208
2457656.95122 13.653 0.02211 13.265 0.27
2457241.99914 13.839 0.02286 11.177 0.235
2457670.91688 13.749 0.02244 12.146 0.251
2458056.72503 14.635 0.03202 5.369 0.158
2458010.82195 14.527 0.03013 5.93 0.164
2457358.76753 14.638 0.03207 5.356 0.158
2458019.05227 14.549 0.0305 5.813 0.163
2457205.02603 13.751 0.02245 12.115 0.25
2457039.72014 14.898 0.03765 4.212 0.146
2457323.76974 14.963 0.03929 3.97 0.144
2457610.10731 14.379 0.02791 6.798 0.175
2457273.93211 14.405 0.02827 6.635 0.173
2457980.05199 14.278 0.02662 7.461 0.183
2457975.99748 14.27 0.02652 7.516 0.183
2457616.90345 14.182 0.02555 8.151 0.192
2457370.8188 14.509 0.02984 6.029 0.166
2457319.70219 14.93 0.03844 4.093 0.145
2457990.07007 14.385 0.02799 6.76 0.174
2457906.10776 13.617 0.02202 13.711 0.278
2457603.03066 14.518 0.02999 5.982 0.165
2457223.00983 13.685 0.02221 12.883 0.263
2457037.72237 14.799 0.03535 4.615 0.15
2457183.08912 13.743 0.02242 12.208 0.252
2457631.0469 13.786 0.0226 11.737 0.244
2457365.7986 14.554 0.03058 5.785 0.163
2458009.00923 14.517 0.02997 5.985 0.165
2457915.08524 13.775 0.02255 11.858 0.246
2457737.78184 14.24 0.02618 7.725 0.186
2457930.0464 13.988 0.02382 9.747 0.214
2457385.77361 14.256 0.02636 7.614 0.185
2457983.94449 14.285 0.0267 7.41 0.182
2457297.95869 14.718 0.03363 4.976 0.154
2457229.95898 13.702 0.02226 12.677 0.26
2457587.04985 14.641 0.03213 5.338 0.158
2457589.97341 14.641 0.03213 5.338 0.158
2457047.70882 15.017 0.04073 3.775 0.141
2457939.01247 14.075 0.02452 8.996 0.203
2457243.97829 13.863 0.023 10.933 0.231
2457231.95716 13.725 0.02235 12.412 0.255
2457209.08498 13.746 0.02243 12.181 0.251
2457694.94003 13.963 0.02364 9.973 0.217
2457669.82119 13.749 0.02244 12.144 0.251
2457660.97515 13.674 0.02217 13.005 0.265
2457545.07605 14.54 0.03035 5.86 0.164
2457369.80148 14.535 0.03026 5.889 0.164
2458022.00864 14.564 0.03075 5.731 0.162
2457612.90613 14.308 0.02698 7.258 0.18
2457180.09465 13.756 0.02247 12.059 0.249
2457735.82476 14.247 0.02626 7.673 0.185
2457314.80351 14.885 0.03733 4.266 0.147
2458034.8906 14.645 0.0322 5.319 0.158
2457688.89272 13.883 0.02311 10.734 0.228
2457553.06979 14.664 0.03256 5.226 0.157
2457303.96298 14.794 0.03524 4.638 0.15
2458024.90045 14.676 0.0328 5.171 0.156
2457256.02985 14.095 0.0247 8.825 0.201
2458055.74037 14.683 0.03293 5.139 0.156
2457696.95275 13.94 0.02348 10.183 0.22
2457574.02391 14.723 0.03373 4.951 0.154
2457329.94131 14.885 0.03733 4.266 0.147
