ASASSN-V J000007.90+585242.8
HJD MAG MAG_ERR FLUX FLUX_ERR
2457906.10776 15.473 0.0562 2.48 0.128
2457589.97341 15.049 0.04163 3.668 0.14
2457183.08912 15.565 0.06009 2.281 0.126
2457538.11031 15.76 0.06927 1.905 0.121
2457272.09624 15.562 0.05996 2.285 0.126
2457553.06979 15.556 0.0597 2.299 0.126
2457625.96278 15.442 0.05495 2.553 0.129
2457735.82476 15.271 0.04859 2.989 0.134
2457694.94003 15.335 0.05086 2.817 0.132
2457329.94131 15.399 0.05326 2.657 0.13
2457303.96298 15.303 0.04971 2.902 0.133
2457047.70882 15.134 0.04413 3.39 0.138
2458064.92944 15.62 0.06255 2.168 0.125
2457399.72521 15.042 0.04143 3.691 0.141
2457209.08498 15.345 0.05123 2.791 0.132
2457612.90613 15.189 0.04586 3.222 0.136
2457915.08524 15.435 0.05467 2.57 0.129
2458010.82195 15.006 0.04043 3.816 0.142
2458070.91094 15.695 0.06607 2.023 0.123
2457603.03066 15.181 0.0456 3.246 0.136
2457574.02391 15.234 0.04733 3.092 0.135
2457701.72753 15.453 0.05539 2.527 0.129
2457631.0469 15.617 0.06242 2.174 0.125
2457362.84465 15.793 0.07095 1.848 0.121
2457616.90345 15.398 0.05323 2.658 0.13
2457369.80148 15.679 0.0653 2.052 0.123
2457223.00983 17.339 99.99 0.1 0.089
2458063.91972 15.661 0.06445 2.087 0.124
2457039.72014 15.281 0.04894 2.962 0.133
2457319.70219 15.215 0.0467 3.147 0.135
2457323.76974 15.174 0.04538 3.267 0.136
2457177.08899 15.436 0.05471 2.568 0.129
2458029.83295 15.188 0.04582 3.227 0.136
2458019.05227 15.018 0.04076 3.772 0.141
2457898.11324 15.704 0.0665 2.007 0.123
2457669.82119 14.986 0.0399 3.886 0.143
2457317.88549 15.16 0.04493 3.309 0.137
2457231.95716 15.121 0.04373 3.432 0.138
2457660.97515 15.259 0.04818 3.023 0.134
2458055.74037 15.506 0.05756 2.408 0.128
2457990.07007 15.353 0.05153 2.773 0.131
2457229.95898 15.196 0.04608 3.204 0.136
2457305.90888 15.287 0.04915 2.946 0.133
2457656.95122 15.438 0.05479 2.562 0.129
2457273.93211 15.494 0.05706 2.434 0.128
2457610.10731 15.282 0.04897 2.959 0.133
2457696.95275 15.385 0.05273 2.692 0.131
2458056.72503 15.445 0.05507 2.547 0.129
2457176.09182 15.624 0.06274 2.159 0.125
2457981.99082 15.433 0.05459 2.574 0.129
2457545.07605 15.751 0.06882 1.92 0.122
2457707.88766 15.688 0.06573 2.036 0.123
2458034.8906 15.279 0.04887 2.967 0.133
2457046.70854 15.275 0.04873 2.977 0.133
2457643.83628 15.768 0.06967 1.891 0.121
2457385.77361 15.518 0.05807 2.382 0.127
2457579.04712 15.189 0.04586 3.223 0.136
2457213.0616 15.304 0.04975 2.898 0.133
2457205.02603 15.549 0.0594 2.315 0.126
2457983.94449 15.411 0.05373 2.627 0.13
2457688.89272 15.18 0.04557 3.252 0.136
2458066.91897 15.643 0.06361 2.122 0.124
2457180.09465 15.455 0.05547 2.522 0.129
2457314.80351 15.18 0.04557 3.25 0.136
2457243.97829 15.314 0.0501 2.872 0.132
2457686.93531 15.071 0.04226 3.592 0.14
2457670.91688 14.955 0.03908 3.998 0.144
2457263.06388 15.617 0.06242 2.172 0.125
2457673.84958 14.966 0.03937 3.957 0.143
2458024.90045 15.053 0.04174 3.655 0.14
2457587.04985 15.104 0.04322 3.487 0.139
2457298.87131 15.404 0.05346 2.645 0.13
2457365.7986 15.789 0.07074 1.855 0.121
2457043.70582 15.095 0.04296 3.516 0.139
2457975.99748 15.477 0.05636 2.472 0.128
2457980.05199 15.459 0.05563 2.515 0.129
2457930.0464 15.034 0.04121 3.718 0.141
2457241.99914 15.327 0.05057 2.838 0.132
2457248.02541 16.855 99.99 -3.351 0.139
2457358.76753 15.809 0.07177 1.822 0.12
2457680.95708 14.801 0.03539 4.61 0.15
2457037.72237 15.335 0.05086 2.817 0.132
2457737.78184 15.316 0.05018 2.867 0.132
2458022.00864 15.08 0.04252 3.563 0.139
2457939.01247 15.106 0.04328 3.481 0.139
2457370.8188 15.732 0.06787 1.955 0.122
2457238.03353 15.212 0.0466 3.156 0.135
2457297.95869 15.498 0.05723 2.426 0.128
2458009.00923 14.988 0.03995 3.88 0.143
2457704.70759 15.677 0.06521 2.056 0.123
2457652.89681 15.535 0.05879 2.343 0.127
2457256.02985 15.431 0.05451 2.579 0.129
